Species,Age,Gender,Breed,Color,Size,Health,Sterilized,PetID
CAT,BABY,MALE,Domestic Medium Hair,YELLOW,MEDIUM,HEALTHY,YES,0008c5398
CAT,BABY,MALE,Abyssinian,BLACK,MEDIUM,HEALTHY,NO,0011d7c25
CAT,BABY,MALE,Domestic Medium Hair,BROWN,MEDIUM,HEALTHY,NO,001a1aaad
CAT,BABY,FEMALE,Domestic Short Hair,CREAM,MEDIUM,HEALTHY,NO,001b1507c
CAT,BABY,FEMALE,Domestic Medium Hair,BLACK,MEDIUM,HEALTHY,NO,002089611
CAT,BABY,FEMALE,Domestic Short Hair,GRAY,MEDIUM,HEALTHY,NO,002230dea
CAT,BABY,FEMALE,Domestic Short Hair,GOLDEN,SMALL,HEALTHY,NO,002278114
CAT,YOUNG,FEMALE,Domestic Medium Hair,GRAY,MEDIUM,HEALTHY,NO,0025a8313
CAT,BABY,MALE,American Curl,BROWN,MEDIUM,HEALTHY,NO,003dd2e26
CAT,BABY,FEMALE,Domestic Short Hair,BLACK,MEDIUM,HEALTHY,NO,0045ed62a
CAT,BABY,MALE,Domestic Short Hair,BLACK,MEDIUM,HEALTHY,NO,00553ae55
CAT,BABY,FEMALE,Domestic Short Hair,BLACK,MEDIUM,HEALTHY,NO,005afe792
CAT,BABY,FEMALE,Domestic Short Hair,BROWN,MEDIUM,HEALTHY,YES,0063f83c9
CAT,BABY,MALE,Domestic Short Hair,BLACK,MEDIUM,HEALTHY,NO,006d301e9
CAT,YOUNG,FEMALE,Domestic Short Hair,GOLDEN,MEDIUM,HEALTHY,YES,007311a1a
CAT,BABY,MALE,Domestic Short Hair,BROWN,SMALL,HEALTHY,YES,00904fc2c
CAT,BABY,FEMALE,Domestic Short Hair,GOLDEN,MEDIUM,HEALTHY,YES,00a1f270a
CAT,BABY,FEMALE,Domestic Short Hair,BROWN,SMALL,INJURED,NO,00ac364a4
CAT,BABY,FEMALE,Domestic Medium Hair,BLACK,SMALL,HEALTHY,NO,00be0a63e
CAT,BABY,FEMALE,Domestic Medium Hair,GRAY,MEDIUM,HEALTHY,YES,00cd4914c
CAT,BABY,FEMALE,Domestic Long Hair,BLACK,MEDIUM,HEALTHY,YES,00e3e33ad
CAT,BABY,MALE,Persian,GOLDEN,MEDIUM,HEALTHY,NO,00e50c7a7
CAT,BABY,MALE,Taby,BLACK,SMALL,HEALTHY,YES,00eca0391
