Species,Age,Gender,Breed,Color,Size,Health,Sterilized,PetID
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,000a290e4
DOG,YOUNG,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,000aa306a
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,000fb9572
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,00156db4a
DOG,ADULT,MALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,001630d8d
DOG,YOUNG,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,002efc654
DOG,BABY,FEMALE,Mixed Breed,BROWN,SMALL,HEALTHY,NO,0038234c6
DOG,BABY,FEMALE,Siberian Husky,GRAY,LARGE,HEALTHY,NO,0038c9343
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,004a26127
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0052dcf47
DOG,YOUNG,MALE,Labrador Retriever,BROWN,LARGE,HEALTHY,YES,0058586f1
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,005bb92d8
DOG,ADULT,MALE,Mixed Breed,GOLDEN,MEDIUM,HEALTHY,YES,0063bd7e0
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,00648f96f
DOG,YOUNG,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,006610fe3
DOG,SENIOR,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,0070b950a
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0073c33d0
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,007bc1db4
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,007ffeccd
DOG,BABY,FEMALE,Jack Russell Terrier,BROWN,SMALL,HEALTHY,YES,0090eb457
DOG,BABY,FEMALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,009239f92
DOG,BABY,MALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,YES,009a75a42
DOG,BABY,FEMALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,YES,00a1a8af4
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,00b23513e
DOG,BABY,MALE,Mixed Breed,WHITE,MEDIUM,HEALTHY,NO,00bfa5da9
DOG,BABY,MALE,Labrador Retriever,BROWN,MEDIUM,HEALTHY,NO,00c71a320
DOG,BABY,MALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,00d26f809
DOG,BABY,MALE,Mixed Breed,YELLOW,MEDIUM,HEALTHY,NO,00f3a3993
DOG,YOUNG,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,011350faf
DOG,YOUNG,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,YES,0113cedff
DOG,BABY,FEMALE,Mixed Breed,BROWN,SMALL,HEALTHY,NO,0118db3a8
DOG,BABY,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,01231c438
DOG,BABY,FEMALE,Golden Retriever,GOLDEN,LARGE,HEALTHY,NO,013527aeb
DOG,BABY,MALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,0142670c8
DOG,SENIOR,FEMALE,Poodle,BROWN,MEDIUM,HEALTHY,YES,0143edd0a
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,NO,0146f6d2c
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,0149d04e7
DOG,SENIOR,FEMALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,YES,014fe943c
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,015770429
DOG,BABY,FEMALE,Mixed Breed,BROWN,MEDIUM,HEALTHY,YES,0157cf3a4
DOG,BABY,FEMALE,Mixed Breed,CREAM,MEDIUM,HEALTHY,NO,015b8b722
DOG,BABY,MALE,Mixed Breed,BLACK,MEDIUM,HEALTHY,NO,015c353ce
